cartodb_id,the_geom,avg_duration,num_rides,per_round,right_station_id,right_coordinates_lon,right_coordinates_lat,right_type,right_addressstreet,right_addresszipcode,right_bikesavailable,right_docksavailable,right_name,right_timezone,right_totaldocks,right_total_num_rides,right_std_rides,right_station_lat,right_station_lon,right_start_num_rides,right_end_num_rides,right_st_per_in,right_ed_per_in,right_st_per_out,right_ed_per_out,right_ttl_per
75,0101000020E61000008811C2A38DCB52C051F701486DFE4340,2989,579,0.168,3095,-75.18052,39.98771,Point,2039 N. 29th Street,19121,3,19,29th & Diamond,Eastern Standard Time,22,3445,-0.93,39.98771,-75.18052,1765,1680,0.512,0.488,0.003,0.003,0.003
76,0101000020E61000002FDD240681CB52C0A60F5D50DFFE4340,4339,412,0.159,3096,-75.17975,39.99119,Point,2301 N. 29th Street,19132,3,16,29th & Dauphin,Eastern Standard Time,19,2587,-1.02,39.99119,-75.17975,1363,1224,0.527,0.473,0.002,0.002,0.002
77,0101000020E610000043E7357689C852C0AF5A99F04BFD4340,3493,169,0.040,3097,-75.13339,39.97888,Point,1902 N. Front Street,19122,6,16,"Berks Station, MFL",Eastern Standard Time,23,4260,-0.84,39.97888,-75.13339,1928,2332,0.453,0.547,0.003,0.004,0.003
78,0101000020E6100000F5673F5244CA52C0B329577897F74340,2508,167,0.025,3098,-75.16042,39.93431,Point,1201 S. 10th Street,19147,19,0,10th & Federal,Eastern Standard Time,19,6802,-0.58,39.93431,-75.16042,3170,3632,0.466,0.534,0.005,0.006,0.005
79,0101000020E610000021EA3E00A9C952C08811C2A38DF74340,2500,234,0.044,3099,-75.15094,39.93401,Point,1110 S. 4th Street,19147,11,8,4th & Washington,Eastern Standard Time,19,5329,-0.73,39.93401,-75.15094,2543,2786,0.477,0.523,0.004,0.004,0.004
80,0101000020E6100000C1ADBB79AAC952C0DF1AD82AC1F64340,2248,399,0.040,3100,-75.15103,39.92777,Point,1600 E. Moyamensing,19148,13,10,Moyamensing & Tasker,Eastern Standard Time,23,9979,-0.25,39.92777,-75.15103,4568,5411,0.458,0.542,0.007,0.008,0.008
81,0101000020E6100000EA04341136CA52C0B1E1E995B2F84340,2381,493,0.026,3101,-75.15955,39.94295,Point,1015 South Street,19147,8,10,11th & South,Eastern Standard Time,18,18984,0.68,39.94295,-75.15955,9502,9482,0.501,0.499,0.015,0.015,0.015
82,0101000020E6100000488AC8B08ACB52C015527E52EDFB4340,3693,708,0.049,3102,-75.18034,39.96818,Point,2601 Pennsylvania Avenue,19130,23,3,26th & Pennsylvania,Eastern Standard Time,26,14351,0.2,39.96818,-75.18034,6911,7440,0.482,0.518,0.011,0.011,0.011
83,0101000020E6100000C139234A7BCB52C085CE6BEC12FD4340,3708,118,0.086,3103,-75.1794,39.97714,Point,2651 Master Street,19121,6,16,"27th & Master, Athletic Recreation Center",Eastern Standard Time,22,1366,-1.14,39.97714,-75.1794,709,657,0.519,0.481,0.001,0.001,0.001
84,0101000020E6100000DFF8DA334BCC52C0B28009DCBAFB4340,2896,51,0.038,3104,-75.19209,39.96664,Point,712 N. 34th Street,19104,5,8,34th & Mantua,Eastern Standard Time,13,1333,-1.15,39.96664,-75.19209,798,535,0.599,0.401,0.001,0.001,0.001
85,0101000020E61000007172BF4351C852C0087767EDB6FB4340,2240,182,0.079,3105,-75.12996,39.96652,Point,1341 N. Delaware Avenue,19125,0,19,Penn Treaty Park,Eastern Standard Time,19,2306,-1.05,39.96652,-75.12996,1092,1214,0.474,0.526,0.002,0.002,0.002
86,0101000020E610000027BD6F7CEDCB52C0FB3F87F9F2FE4340,3288,425,0.187,3106,-75.18637,39.99179,Point,2300 N. 33rd Street,19132,11,12,33rd & Dauphin,Eastern Standard Time,23,2278,-1.05,39.99179,-75.18637,1145,1133,0.503,0.497,0.002,0.002,0.002
87,0101000020E61000000E84640113CC52C06FD8B628B3FD4340,3578,159,0.098,3107,-75.18866,39.98203,Point,1626 N. 33rd Street,19121,9,14,33rd & Reservoir,Eastern Standard Time,23,1619,-1.12,39.98203,-75.18866,842,777,0.520,0.480,0.001,0.001,0.001
88,0101000020E61000004D4A41B797CA52C07CED992501FA4340,2608,539,0.029,3108,-75.16551,39.95316,Point,1515 Market Street,19102,10,11,15th & Market,Eastern Standard Time,22,18338,0.61,39.95316,-75.16551,9096,9242,0.496,0.504,0.014,0.014,0.014
89,0101000020E610000030F5F3A622CD52C0DB166536C8FC4340,2497,188,0.103,3109,-75.20524,39.97486,Point,4105 Parkside Ave.,19104,1,18,Parkside & Girard,Eastern Standard Time,19,1824,-1.1,39.97486,-75.20524,933,891,0.512,0.488,0.001,0.001,0.001
91,0101000020E6100000840D4FAF94CD52C005172B6A30FD4340,3101,296,0.182,3111,-75.2122,39.97804,Point,4300 S. Concourse St.,19104,4,15,"Parkside & Belmont, Case Buildling",Eastern Standard Time,19,1623,-1.12,39.97804,-75.2122,898,725,0.553,0.447,0.001,0.001,0.001
92,0101000020E61000008716D9CEF7CD52C0679B1BD313FA4340,2623,244,0.042,3112,-75.21825,39.95373,Point,310 S. 48th Street,19139,9,9,48th & Spruce,Eastern Standard Time,18,5790,-0.69,39.95373,-75.21825,3212,2578,0.555,0.445,0.005,0.004,0.004
93,0101000020E6100000639CBF0985CC52C07FDE54A4C2FC4340,2378,78,0.049,3113,-75.19562,39.97469,Point,1046 N. 34th Street,19104,0,18,Philadelphia Zoo,Eastern Standard Time,18,1599,-1.12,39.97469,-75.19562,913,686,0.571,0.429,0.001,0.001,0.001
94,0101000020E6100000C156091687CB52C079E9263108F84340,2422,226,0.034,3114,-75.18012,39.93775,Point,22nd & Federal St.,19122,12,5,22nd & Federal,Eastern Standard Time,17,6618,-0.6,39.93775,-75.18012,3373,3245,0.510,0.490,0.005,0.005,0.005
