station_id,coordinates_lon,coordinates_lat,type,addressStreet,addressZipCode,bikesAvailable,docksAvailable,name,timeZone,totalDocks,total_num_rides,std_rides,station_lat,station_lon,start_num_rides,end_num_rides,st_per_in,ed_per_in,st_per_out,ed_per_out,ttl_per
3046,-75.14472,39.95012,Point,215 Market St.,19106,4,7,2nd & Market,Eastern Standard Time,11,18654,0.64,39.95012,-75.14472,9087,9567,48.7%,51.3%,1.39%,1.47%,1.43%
3047,-75.14921,39.95071,Point,519 Market St.,19106,8,11,"Independence Mall, NPS",Eastern Standard Time,20,18814,0.66,39.95071,-75.14921,9196,9618,48.9%,51.1%,1.40%,1.48%,1.44%
3049,-75.1425,39.94509,Point,3 Dock St.,19106,11,18,Foglietta Plaza,Eastern Standard Time,29,11517,-0.09,39.94509,-75.14250,5335,6182,46.3%,53.7%,0.81%,0.95%,0.88%
3050,-75.15426,39.95339,Point,813 Arch St.,19107,4,11,9th & Arch,Eastern Standard Time,15,14424,0.21,39.95339,-75.15426,7103,7321,49.2%,50.8%,1.08%,1.13%,1.11%
3051,-75.17507,39.96744,Point,2237 Fairmount Ave.,19130,20,5,23rd & Fairmount,Eastern Standard Time,25,17580,0.53,39.96744,-75.17507,9504,8076,54.1%,45.9%,1.45%,1.24%,1.35%
3052,-75.15695,39.94732,Point,923 Locust St.,19107,11,14,9th & Locust,Eastern Standard Time,25,24243,1.22,39.94732,-75.15695,12159,12084,50.2%,49.8%,1.86%,1.86%,1.86%
3053,-75.18154,39.93231,Point,1575 Point Breeze Ave.,19146,11,8,Point Breeze & Tasker,Eastern Standard Time,19,8966,-0.36,39.93231,-75.18154,4609,4357,51.4%,48.6%,0.70%,0.67%,0.69%
3054,-75.1742,39.9625,Point,2170 Hamilton St.,19146,8,7,Rodin Museum,Eastern Standard Time,15,19296,0.71,39.96250,-75.17420,9554,9742,49.5%,50.5%,1.46%,1.50%,1.48%
3055,-75.15457,39.95112,Point,834 Market St.,19107,4,11,8th & Market,Eastern Standard Time,15,13151,0.07,39.95112,-75.15457,6703,6448,51.0%,49.0%,1.02%,0.99%,1.01%
3056,-75.15813,39.97669,Point,1501 N. Broad St.,19122,14,9,Broad & Oxford,Eastern Standard Time,23,14702,0.23,39.97669,-75.15813,7521,7181,51.2%,48.8%,1.15%,1.10%,1.13%
3057,-75.1816,39.96371,Point,2600 Benjamin Franklin Pkwy.,19130,15,8,Philadelphia Museum of Art,Eastern Standard Time,23,26886,1.49,39.96442,-75.17999,13430,13456,50.0%,50.0%,2.05%,2.07%,2.06%
3058,-75.17001,39.96716,Point,1940 Fairmount Ave.,19130,6,7,20th & Fairmount,Eastern Standard Time,13,14141,0.18,39.96716,-75.17001,7763,6378,54.9%,45.1%,1.19%,0.98%,1.08%
3059,-75.16174,39.96265,Point,1415 Spring Garden St.,19123,6,15,"Spring Garden Station, BSL",Eastern Standard Time,21,13344,0.09,39.96265,-75.16174,7136,6208,53.5%,46.5%,1.09%,0.95%,1.02%
3060,-75.17036,39.95923,Point,302 N. 19th St.,19103,9,10,Free Library of Philadelphia - Central Library,Eastern Standard Time,19,12915,0.05,39.95923,-75.17036,6183,6732,47.9%,52.1%,0.94%,1.04%,0.99%
3061,-75.17761,39.95425,Point,2241 Market St.,19103,2,23,23rd & Market,Eastern Standard Time,25,23111,1.10,39.95425,-75.17761,11314,11797,49.0%,51.0%,1.73%,1.81%,1.77%
3062,-75.17943,39.95197,Point,120 S. 24th St.,19103,9,6,24th & Sansom,Eastern Standard Time,15,14871,0.25,39.95197,-75.17943,7212,7659,48.5%,51.5%,1.10%,1.18%,1.14%
3063,-75.1698,39.94633,Point,391  S. 17th St.,19103,3,22,17th & Pine,Eastern Standard Time,25,21132,0.90,39.94633,-75.16980,10843,10289,51.3%,48.7%,1.66%,1.58%,1.62%
3064,-75.17327,39.9384,Point,1800 Washington Ave.,19146,10,5,"18th & Washington, Chew Playground",Eastern Standard Time,15,13943,0.16,39.93840,-75.17327,6938,7005,49.8%,50.2%,1.06%,1.08%,1.07%
3065,-75.15171,39.9707,Point,915 W. Girard Ave.,19123,5,10,Girard & Hutchinson,Eastern Standard Time,15,2325,-1.04,39.97070,-75.15171,1279,1046,55.0%,45.0%,0.20%,0.16%,0.18%
3066,-75.17348,39.94561,Point,1910 Lombard St.,19146,14,5,19th & Lombard,Eastern Standard Time,19,18976,0.68,39.94561,-75.17348,9999,8977,52.7%,47.3%,1.53%,1.38%,1.45%
